gauci_biome,weight_asner_norm,weight_ilo_norm,consensus_mean_meta,consensus_se,consensus_ci_lower,consensus_ci_upper
Temperate Broadleaf & Mixed Forests,0.6194570135746607,0.3805429864253393,4.7680407239819,1.3694772923632734,2.0838652309498844,7.452216217013916
Temperate Conifer Forests,0.4554606084732545,0.5445393915267455,5.356924968780163,2.132615167340449,1.1769992407928829,9.536850696767443
Boreal Forests/Taiga,0.6621621621621622,0.33783783783783783,2.7468918918918916,1.0578535125687556,0.6734990072571305,4.820284776526653
Tropical & Subtropical Moist Broadleaf Forests,0.5942628855851726,0.40573711441482746,4.886803196018076,1.3567566894578522,2.2275600846806856,7.546046307355466
"Temperate Grasslands, Savannas &Shrublands",0.8439651577782666,0.1560348422217334,3.7872509381987243,2.0027131636421216,-0.13806686253983402,7.712568738937282
Trop. & Subtrop. Dry Broadleaf Forests,0.0029510763733211986,0.9970489236266789,0.8751390217951378,0.2096899080355002,0.4641468020455574,1.2861312415447181
"Mediterranean Forests, Woodlands & Scrub",0.1051862673484295,0.8948137326515704,0.7214682249817383,0.3405405405405405,0.054008765522278956,1.3889276844411977
"Trop. & Subtrop. Grasslands, Savannas &",0.6900901050809947,0.3099098949190053,3.0679999667201914,1.6032830793145036,-0.0744348687362355,6.210434802176618
Deserts & Xeric Shrublands,0.35672684915550373,0.6432731508444962,1.5484799068142108,0.5614301772382769,0.44807675942718794,2.6488830542012334
