gauci_biome,n_records,percentage
Boreal Forests/Taiga,174,17.261904761904763
Deserts & Xeric Shrublands,23,2.2817460317460316
Flooded Grasslands & Savannas,7,0.6944444444444444
"Mediterranean Forests, Woodlands & Scrub",14,1.3888888888888888
Temperate Broadleaf & Mixed Forests,245,24.305555555555557
Temperate Conifer Forests,306,30.357142857142858
"Temperate Grasslands, Savannas &Shrublands",67,6.646825396825397
Trop. & Subtrop. Dry Broadleaf Forests,40,3.9682539682539684
"Trop. & Subtrop. Grasslands, Savannas &",5,0.49603174603174605
Tropical & Subtropical Moist Broadleaf Forests,74,7.341269841269841
Tundra,14,1.3888888888888888
ambiguous,39,3.869047619047619
